Layer,Cycles,Ops,Ops/Cycle,% Ops,% Cycles
S4__first_conv_Conv_fusion,626307,8320000,13.28422,20.067441073720012,49.751207027209944
S7__Block1_conv1_Conv_fusion,121486,5760000,47.412872,13.8928438202677,9.650339429237782
S10__Block1_conv2_Conv_fusion,58610,5760000,98.276741,13.8928438202677,4.655733121080836
S14__Block1_bypass_Conv_fusion,28176,640000,22.714367,1.5436493133630778,2.238183525329698
S16_expr_0,31240,20000,0.640205,0.04823904104259618,2.4815748626951937
S20__Block2_conv1_Conv_fusion,69164,3115008,45.037998,7.513249938000772,5.494098713298667
S23__Block2_conv2_Conv_fusion,70301,6230016,88.619164,15.026499876001544,5.584417235029924
S27__Block2_bypass_Conv_fusion,14505,346112,23.861565,0.8348055486667525,1.1522164975478164
S29_expr_1,17209,10816,0.628508,0.026087673395836015,1.3670109414891674
S33__Block3_conv1_Conv_fusion,90965,3612672,39.714966,8.713591644071903,7.22587891757581
S36__Block3_conv2_Conv_fusion,97908,7225344,73.797279,17.427183288143805,7.777401781586461
S40__Block3_bypass_Conv_fusion,15480,401408,25.93075,0.9681768493413224,1.2296664172382075
S42_expr_2,10299,6272,0.608991,0.015127763270958163,0.8181094593757298
S45__fc_MatMul,5676,12544,2.210007,0.030255526541916326,0.45087768632067604
S49__Gather_reshape0_copy,523,1,0.001912,2.411952052129809e-06,0.041544931280076386
S52__sig_Sigmoid,1029,1,0.000972,2.411952052129809e-06,0.08173945370401262
IO_Wait,0,0,nan,0.0,0.0
Total,1258878,41460194,32.93424303228748,100,100
