Layer,Cycles,Ops,Ops/Cycle,% Ops,% Cycles
S4__first_conv_Conv_fusion,423590,5453600,12.874714,22.03508935249743,51.91015752335154
S7__resBlock1_conv1_Conv_fusion,74451,3686400,49.514446,14.894776549260401,9.123829971838443
S10__resBlock1_conv2_Conv_fusion,37143,3686400,99.248848,14.894776549260401,4.551804766141426
S14__resBlock1_bypass_Conv_fusion,18532,409600,22.10231,1.6549751721400445,2.2710617323892226
S16_expr_0,20861,12800,0.613585,0.05171797412937639,2.5564763004193596
S20__resBlock2_conv1_Conv_fusion,38468,1843200,47.91515,7.4473882746302005,4.714181023178751
S23__resBlock2_conv2_Conv_fusion,47069,3686400,78.319061,14.894776549260401,5.768217390558402
S27__resBlock2_bypass_Conv_fusion,9884,204800,20.720356,0.8274875860700223,1.2112656034391904
S29_expr_1,12522,6400,0.5111,0.025858987064688196,1.5345475400916169
S33__resBlock3_conv1_Conv_fusion,56020,1843200,32.902534,7.4473882746302005,6.865145599419612
S36__resBlock3_conv2_Conv_fusion,50809,3686400,72.554077,14.894776549260401,6.226547353818477
S40__resBlock3_bypass_Conv_fusion,8764,204800,23.368324,0.8274875860700223,1.0740117106982057
S42_expr_2,5649,3200,0.566472,0.012929493532344098,0.6922743215123418
S45__fc_MatMul,6402,22400,3.498907,0.09050645472640868,0.7845530547569504
S49__Slice_split_reshape_qout0_0,1016,3,0.002953,1.2121400186572592e-05,0.12450888841503617
S50__softmax_Softmax,1723,3,0.001741,1.2121400186572592e-05,0.21115040820778277
S53__Slice_reshape1_copy,451,1,0.002217,4.04046672885753e-06,0.055269201451950106
S55__Slice_2_tin_copy,451,3,0.006652,1.2121400186572592e-05,0.055269201451950106
S57__sig_Sigmoid,1065,1,0.000939,4.04046672885753e-06,0.13051374622245424
S58__sig_1_Sigmoid,436,1,0.002294,4.04046672885753e-06,0.053430979674169064
S59__sig_2_Sigmoid,420,1,0.002381,4.04046672885753e-06,0.05147020977786928
S62__Concat_reshape_copy,280,3,0.010714,1.2121400186572592e-05,0.034313473185246184
IO_Wait,0,0,nan,0.0,0.0
Total,816006,24749616,30.33018874861214,100,100
